DISPLAY_ROUTE_CODE,ROUTE_CODE,LINE_START_NAME,LINE_END_NAME
2,00002,Унутрашњи круг,Спољашњи круг
3,00003,Омладински стадион,Кнежевац
5,00005,Kaлемегдан /Доњи град/,Устаничка
6,00006,Ташмајдан,Устаничка
7,00007,Устаничка,Блок 45
9,00009,Бањица,Блок 45
10,00010,Калемегдан /Доњи град/,Бањица 
11,00011,Калемегдан /Доњи град/,Блок 45
12,00012,Омладински стадион,Баново брдо
14,00014,Устаничка,Бањица
15,00015,Зелени венац,Земун /Нови град/
16,00016,Карабурма 2,Нови Београд /Павиљони/
17,00017,Коњарник,Земун /Горњи град/
18,00018,Медаковић 3,Земун /Бачка/
19,00019,Студентски трг,Коњарник
20,00020,Миријево 3,Велики Mокри луг
21,00021,Трг Славија,Учитељско насеље
22,00022,Трг Славија,Крушевачка
23,00023,Карабурма 2,Видиковац
24,00024,Дорћол /СРЦ Милан Гале Мушкатировић/,Неимар
25,00025,Карабурма 2,Кумодраж 2
26,00026,Дорћол /Дунавска/,Насеље Браће Јерковић
27,00027,Трг Републике,Миријево 3
28,00028,Студентски трг,Звездара
29,00029,Студентски трг,Медаковић 3
30,00030,Бирчанинова,Медаковић 2
31,00031,Студентски трг,Коњарник
32,00032,Вуков споменик,Вишњица
33,00033,ЖС Панчевачки мост,Кумодраж
34,00034,Топчидерско брдо (Сењак),Пере Велимировића
35,00035,Нови Београд (Блок 20),Лешће /гробље/
36,00036,Железничка станица БГД центар,Железничка станица БГД центар
37,00037,Железничка станица Панчевачки мост,Кнежевац
38,00038,Шумице - Погон Космај,Велики Мокри луг
39,00039,Бирчанинова,Кумодраж 1
40,00040,Звездара,Бањица 2
41,00041,Студентски трг,Бањица 2
42,00042,Бирчанинова,Петлово брдо
43,00043,Трг Републике,Котеж
44,00044,Топчидерско брдо /Сењак/,Железничка станица Дунав
45,00045,Блок 44,Земун /Нови град/
46,00046,Савски трг,Миријево
47,00047,Бирчанинова,Железничка станица Ресник
48,00048,Железничка станица Панчевачки мост,Миљаковац 3
49,00049,Баново Брдо,Насеље Степа Степановић
50,00050,Устаничка,Баново брдо
51,00051,Савски трг,Беле Воде
52,00052,Зелени Венац,Церак Виногради
53,00053,Зелени Венац, Видиковац
54,00054,Миљаковац,МЗ Макиш
55,00055,Звездара,Стари Железник
56,00056,Зелени Венац,Петлово брдо
57,00057,Баново брдо,Баново брдо
58,00058,Железничка станица Панчевачки мост,Нови Железник
59,00059,Славија/Бирчанинова,Петлово брдо
60,00060,Зелени Венац,Нови Београд /Топлана/
65,00065,Звездара 2,Ново Бежанијско Гробље
66,00066,Вуков споменик,Научно-технолошки парк Звездар
67,00067,Зелени Венац,Нови Београд /Блок 70А/ 
68,00068,Зелени Венац,Нови Београд /Блок 70/ 
69,00069,Го Нови Београд,Депо Сава
70,00070,Бежанијска коса,ИКЕА
71,00071,Зелени Венац,Бежанија /Ледине/
72,00072,Зелени Венац,Аеродром Никола Тесла
73,00073,Нови Београд /Блок 45/ ,Батајница /Железничка Станица/
74,00074,Бежанијска Коса,Миријево 3
75,00075,Зелени Венац,Бежанијска Коса
76,00076,Нови Београд /Блок 70А/ ,Бежанијска Коса/Болница/
77,00077,Звездара,Бежанијска Коса/Болница/
78,00078,Бањица 2,Земун /Нови Град/ 
79,00079,Дорћол /СРЦ Милан Гале Мушкатировић/,Миријево 4 
81,00081,Нови Београд/Павиљони/,Алтина1
82,00082,Земун /Кеј Ослобођења/,Блок 44 
83,00083,Црвени Крст,Земун /Бачка/
84,00084,Зелени Венац,Нова Галеника
85,00085,Баново брдо,Борча 3
87,00087,Чукаричка  Падина,Чукаричка  Падина
88,00088,Земун /Кеј Ослобођења/,Нови Железник
89,00089,Видиковац,Нови Београд /Блок 72/ 
91,00091,Савска (окретница),Остружница /Ново Насеље/
92,00092,Балканса,Остружница /Караула/
94,00094,Нови Београд /Блок 45/ ,Ресник /Едварда Грига/
95,00095,Нови Београд /Блок 45/ ,Борча 3
96,00096,ЖС Панчевачки мост,Борча 3
101,00101,Омладински Стадион,Падинска Скела
102,00102,Падинска Скела,Врбовски /Широка греда/
104,00104,Омладински Стадион,Црвенка
105,00105,Омладински Стадион,Овча /Железничка Станица/
106,00106,Омладински Стадион,Јабучки Рит
107,00107,Падинска Скела,Дунавац
108,00108,Омладински Стадион,Рева /Дубока Бара/
109,00109,Падинска Скела,Стајалиште Пут за Дунавац
110,00110,Падинска скела,Пут за Врбовски
202,00202,Омладински Стадион,Велико Село
302,00302,Устаничка,Бегаљица
303,00303,Устаничка,Врчин
304,00304,Устаничка,Ритопек
305,00305,Устаничка,Болеч
306,00306,Устаничка,Бубањ Поток
307,00307,Устаничка,Винча
308,00308,Шумице,Велики Мокри луг
309,00309,Звездара /Пијаца/,Калуђерица
310,00310,Шумице,Мали мокри луг
311,00311,Устаничка,Лештане (Раван)
312,00312,МЗ Велики мокри луг,МЗ Велики мокри луг
400,00400,Вождовац,Врх Авале
401,00401,Славија /Бирчанинова/,Пиносава
402,00402,Славија /Бирчанинова/,Бели поток
403,00403,Вождовац,Зуце
404,00404,Бела река,Трешња /окретница/ 
405,00405,Вождовац,Глумчево Брдо
406,00406,Вождовац,Пиносава
407,00407,Вождовац,Бела Река
408,00408,Вождовац,Раља /Друмине/
409,00409,Вождовац-Јајинци-улица Ружа,Вождовац
501,00501,Петлово брдо,Старо Кијево
502,00502,Миљаковац 1,ОРЛОВАЧА /ГРОБЉЕ/
503,00503,Вождовац ,Ресник /Железничка Станица/ 
504,00504,Видиковац,Ресник /Железничка Станица/
505,00505,Миљаковац 1,Миљаковачке стазе
506,00506,Ресник (Едварда Грига),Ресник (Патин мајдан)
507,00507,Кнежевац,Рушањ (Дробњачки крај)
511,00511,Балканска,Сремчица 
512,00512,Баново Брдо,Сремчица /Насеље Горица/
513,00513,Сремчица /Насеље Горица/,Велика Моштаница
521,00521,Видиковац,Железник /Тараиш/
531,00531,Баново Брдо,Рушањ /13. септембра/
532,00532,Баново Брдо,Рушањ /Ослобођења/
533,00533,Баново Брдо,Орловача /Гробље/
534,00534,Церак Виногради,Рипањ /гробље/
551,00551,Савска (окретница),Сремчица
552,00552,Главна Железничка Станица,Умка
553,00553,Савска (окретница),Руцка
601,00601,Балканска,Сурчин
602,00602,Блок 44,СРЦ Сурчин
603,00603,Бежанија/Ледине/,Угриновци
604,00604,Нови Београд /Блок 45/ ,Прека Калдрма
605,00605,Нови Београд /Блок 45/ ,Прогар
606,00606,Добановци,Грмовац
607,00607,Нови Београд /Павиљони/,Сурчин
610,00610,Земун /Кеј Ослобођења/,Јаково
611,00611,Земун /Кеј Ослобођења/,Добановци
612,00612,Нови Београд /Павиљони/,НоваГаленика
613,00613,Нови Београд /Павиљони/,Радиофар
700,00700,Батајница /Железничка Станица/,Батајница /Железничка Станица/
702,00702,Батајница /Железничка Станица/,Бусије /Црква/ 
703,00703,Земун /Кеј осл. /Батајн. /Ж С/,Угриновци
704,00704,Зелени Венац,Земун Поље
705,00705,Земун / Кеј Ослобођења,13 Мај
706,00706,Зелени Венац,Батајница
707,00707,Зелени Венац,Земун Поље
708,00708,Нови Београд /Блок 70А/ ,Земун Поље
709,00709,Земун /Нови Град/,Земун Поље
711,00711,Нови Београд/Павиљони/,Угриновци/излаз/
100,00712,Батајница,Овча
100A,00713,Батајница,Земун
100B,00714,Земун,Овча
522,00715,НОВИ ЖЕЛЕЗНИК,НОВИ ЖЕЛЕЗНИК
100R,00716,Лазаревац,Ресник
100P,00717,Ресник,Овча
100C,00718,Лазаревац,Овча
100M,00719,Лазаревац,Београд центар
100V,00720,Овча,Београд центар
100S,00721,Младеновац,Београд центар
L1,00901,Карабурма 2,Бежанијска коса /болница/
L2,00902,Коњарник,Земун поље
L3,00903,Земун /Бачка/,Медаковић 3
L4,00904,Карабурма 2,Видиковац
L5,00905,Карабурма 2,Кумодраж 2
L6,00906,Дорћол /Дунавска/,Насеље Браће Јерковић
L7,00907,Трг Републике,Миријево 4
L8,00908,Студентски трг,Медаковић 3
L9,00909,Трг Славија,Коњарник
L10,00910,ЖС Панчевачки мост,Кумодраж
L11,00911,Железничка станица Панчевачки мост,Кнежевац
L12,00912,Бањица 2,Звездара
L13,00913,Земун /Нови град/,Блок 44
L14,00914,Бирчанинова,Железничка станица Ресник
L15,00915,Устаничка,Баново брдо
L16,00916,Миријево,Стари Железник
L17,00917,Зелени Венац,Петлово брдо
L18,00918,Звездара 2,Бежанијска коса   
L19,00919,Коњарник,Калуђерица
L20,00920,Нови Београд /Блок 45/ ,Нова Пазова
L21,00921,Бањица 2,Земун /Нови Град/ 
L22,00922,Баново брдо,Борча 3
L23,00923,Земун /Кеј Ослобођења/,Нови Железник
L24,00924,Видиковац,Нови Београд /Блок 72/ 
L25,00925,Борча ,Нови Београд /Блок 45/
L26,00926,Омладински Стадион,Падинска Скела
L27,00927,Омладински Стадион,Рева /Дубока Бара/
L28,00928,Вуков споменик,Велико село
L29,00929,Трг Славија,Бегаљица
L30,00930,Трг Славија,Глумчево брдо
L31,00931,Адмирала Гепрата,Велика Моштаница
L32,00932,Адмирала Гепрата,Прогар
L33,00933,Нови Београд (Павиљони),Бусије
L34,00934,Адмирала Гепрата,Петровчић
2L1,10002,Омладински стадион,Господарска механа
3A,10003,Савска (окретница),Кнежевац
5A,10005,ДОРЋОЛ /СРЦ Милан Мушкатирови,ВУКОВ СПОМЕНИК 
6A,10006,Вуков споменик,Устаничка
7L,10007,Омладински стадион,Блок 45
9L1,10009,Омладински стадион,Бањица
10A,10010,Бањица 2,СРЦ „Милан Мушкатировић“
11L,10011,Ташмајдан,Блок 45
12L,10012,Омладински стадион,Блок 45
13,10013,Баново брдо,Блок 45
14L,10014,Омладински стадион,Бањица
16L,10016,Трг Републике,Карабурма 2
18L,10018,ГО Нови Београд,Трг Ослобођења
19L,10019,Трг Славија,Коњарник
20L,10020,Устаничка,Велики Mокри луг
21A,10021,Трг Славија,Учитељско насеље
22A,10022,Студенски трг,Трг Славија
24L,10024,Неимар,Трг Славија
25P,10025,Миријево 4,Кумодраж /Степина кућа/
27E,10027,Нови Београд (Блок 20),Миријево 4
28A,10028,Студентски трг,Звездара
29A,10029,Палата ,Медаковић 3
31L,10031,Палата ,Коњарник
32E,10032,Трг Републике,Вишњица
34L,10034,Топчидерска звезда,Пере Велимировића
35L,10035,Омладински стадион/улаз/,Лешће /гробље/
37L,10037,Савски трг,Кнежевац
38L,10038,Погон Космај,Мостар
40L,10040,Звездара,Бањица
41L,10041,Студентски трг,Бањица 
43L,10043,ЖС Панчевачки мост,Котеж
44L,10044,Топчидерско брдо (Сењак),Вилине воде (Темпо)
46L,10046,Главна железничка станица,Звездара
50L,10050,Устаничка,Медаковић 3
56L,10056,Зелени Венац,Чукаричка Падина
58L,10058,Савски трг,Нови Железник
66L,10066,Омладински стадион,Научно-технолошки парк Звездар
72L,10072,Блок 45,Аеродром Никола Тесла
75L,10075,ГО Нови Београд,Бежанијска коса
77L,10077,Звездара /пијаца/,Бежанијска Коса/Болница/
79L,10079,Дорћол /СРЦ Милан Гале Мушкатировић/,Звездара (пијаца)
81L,10081,Нови Београд/Павиљони/,Алтина1
82L,10082,Нови Београд /Похорска/,Нови Београд /Похорска/
83L,10083,Савски трг,Земун /Бачка/
95L1,10095,Борча 3,Дунав станица
96L,10096,ЖС Панчевачки мост,Борча 3
101L,10101,Падинска Скела,Борча
105L,10105,Борча 3,Овча /Железничка Станица/
106L,10106,Јабучки Рит,Борча 3
107O,10107,Омладински Стадион,Дунавац
108L,10108,Блок Браће Марић,Блок Браће Марић
109U,10109,Падинска Скела,Чента
303L,10303,Устаничка,Заклопача 
308L,10308,Шумице  ,МЗ Велики Мокри луг
401L,10401,Славија /Бирчанинова/,Пиносава (3.НОВА)
405L,10405,Глумчево брдо,Глумчео брдо
406L1,10406,Вождовац,Бели поток /железничка станиц/
503L,10503,Бањица 2,Ресник /Железничка Станица/ 
505L,10505,Миљаковац 1,Миљаковачке стазе
511L,10511,Главна Железничка Станица,Сремчица/Насеље Горица/
512L,10512,Баново Брдо,Сремчица /Насеље Горица/
603L1,10603,Бежанија/Ледине/,Добановци (пумпа)
604L,10604,Сурчин ,Прека Калдрма
605L,10605,Нови Београд /Блок 45/,Јаково
306L,10606,Устаничка,Лештане
702L,10702,Бусије/Црква/,Угриновци
703L,10703,Земун /Кеј осл. /Батајн. /Ж С/,Батајница/Железничка станица/
706E,10706,Земун /Кеј Ослобођења/,Аеродром Батајница
708L,10708,Нови Београд /Блок 70А/ ,Железничка ст. /Земун Поље/
709L,10709,Земун /Нови Град/,Железничка ст. „Земун поље“
5A1,11005,ДОРЋОЛ /СРЦ Милан Мушкатирови,УСТАНИЧКА
9A,11009,Бањица 2,Блок 20
605L1,11605,Прогар,Јаково
7L1,20001,Устаничка,Милутина Миланковића
2L,20002,Пристаниште,Господарска механа
3L1,20003,Омладински стадион,Железничка станица „Топчидер“
5L,20005,Kaлемегдан /Беко/,Стара окретница /Булевар/
6L,20006,Омладински стадион,Устаничка
7A,20007,Устаничка,Блок 20
9L1,20009,Бањица,Булевар Милутина Миланковића
10L,20010,Трг Славија,Бањица 
12A,20012,Савски трг,Баново брдо
13L,20013,Баново брдо,Булевар Милутина Миланковића
21L,20021,Трг Славија,Учитељско насеље
22L,20022,Трг Славија,Крушевачка
26L,20026,Медаковић 3,Војводе Влаховића /терминус/
29L,20029,Трг Славија,Медаковић 3
32EL,20032,ЖС Панчевачки мост,Вишњица
35L1,20035,Трг Републике,Лешће /гробље/
38A,20038,Погон Космај,Ж.Ст. "Топчидер" (Ж.Ст. Бгд ц)
40A,20040,Звездара,Бањица 2
41A,20041,Адмирала Гепрата,Бањица 2
46L1,20046,Миријево 3 ,Миријево 3
56L1,20056,Зелени венац,Петлово брдо (XI крајишке)
65L,20065,Звездара (Стара окретница),Звездара 2
67P,20067,Зелени Венац,Нови Београд /Блок 70А/  
81L1,20081,Нови Београд/Павиљони/,Павла Вујисића
89P,20089,Видиковац,Нови Београд /Блок 61/ 
94P,20094,Нови Београд /Блок 45/ ,Миљаковац 1
95P,20095,Блок 45,Борча 3
400L,20400,БАЊИЦА 2,Врх Авале
401L1,20401,БАЊИЦА 2,Пиносава
402L,20402,БАЊИЦА 2,Бели Поток
403L,20403,БАЊИЦА 2,Зуце
405L1,20405,БАЊИЦА 2,Глумчево Брдо
406L,20406,Вождовац - Земљорадничка,Бели поток /Игралиште/
407L,20407,Бела река,Требеж (окретница)
408L,20408,Бањица 2,Раља /Друмине/
505L1,20505,Миљаковац 1,Миљаковачке стазе
511L1,20511,Железник/Тараиш/,Сремчица 
603L,20603,Угриновци ,Предузеће Челик
604L1,20604,Сурчин ,Бечмен
706AM,20706,Батајница (жел.ст.),Аеродром Батајница (Пинолес)
708L1,20708,Земун поље /железничка станица,Земун Поље
9L,21009,Омладински стадион,Бањица
2A,30002,Дорћол СРЦ МГМ,Геозавод
3L1,30003,Трг Славија,Кнежевац
7L1,30007,Устаничка,Блок 45
9A1,30009,Трг Славија,Бањица 2
12L1,30012,Омладински стадион,Булевар Милутина Миланковића
13A,30013,Главна железничка станица,Баново брдо
22A,30022,Трг Славија,Крушевачка
41A1,30041,Студентски трг,Бањица 2
95L,30095,Трг Републике,Борча 3
ADA1,40001,Трг Републике,Видиковац
ADA2,40002,Земун /Кеј Ослобођења/,Ада Циганлија
ADA3,40003,Коњарник,Ада Циганлија
ADA4,40004,Миријево ,Ада Циганлија
ADA5,40005,Бежанијска Коса,Ада Циганлија
ADA6,40006,Миљаковац 3,Ада циганлија
7L2,40007,Стара окретница /Булевар /,Милутина Миланковићaа
LOKAL,40011,Овча /железничка станица/,Борча 3
EKO1,40101,Вуков споменик,Насеље Белвил
M1,40201,Трг републике,Музеј савремене уметности
M2,40202,Вуков споменик,Музеј савремене уметности
706E1,40706,Земун /Кеј Ослобођења/,Аеродром Батајница
7N,50007,Славија,Славија
15N,50015,Трг Републике,Земун/Нови Град/
26N,50026,Дорћол/Дунавска/,Браће Јерковић
27N,50027,Трг Републике,Миријево 3
29N,50029,Студентски трг,Медаковић 3
31N,50031,Студентски трг,Коњарник
32N,50032,Трг Републике,Вишњица
33N,50033,Студентски трг,Кумодраж
37N,50037,Трг Републике,Кнежевац
47N,50047,Трг Републике,Ресник /Железничка Станица/
48N,50048,Трг Републике,Миљаковац 3
51N,50051,Трг Републике,Беле Воде
56N,50056,Трг Републике,Рушањ
68N,50068,Трг Републике,Нови Београд /Блок 45/ 
75N,50075,Трг Републике,Бежанијска Коса
96N,50096,Трг Републике,Борча 3
101N,50101,Трг Републике,Падинска Скела
202N,50202,Трг Републике,Велико Село
301N,50301,Трг Републике,Бегаљица
304N,50304,Трг Републике,Ритопек
308N,50308,Славија,Велики Мокри луг
401N,50401,Дорћол/Дунавска/,Пиносава
511N,50511,Трг Републике,Сремчица
601N,50601,Савски трг,Добановци
603N,50603,Трг Републике,Угриновци
704N,50704,Трг Републике,Земун Поље
706N,50706,Трг Републике,Батајница
47Na,51047,Трг Републике,Ресник /Железничка Станица/
32NP,51048,Трг Републике,Вишњица
304NP,51049,Трг Републике,Ритопек
603NP,51050,Трг Републике,Угриновци
704NP,51051,Трг Републике,Земун Поље
101Na,51101,Трг Републике,Падинска Скела
301Na,51301,Трг Републике,Гроцка
304NA,51304,Трг Републике,Калуђерице
511Na,51511,Трг Републике,Сремчица
601Na,51601,ГО Нови Београд,Добановци
603Na,51603,Трг Републике,Угриновци
47Nb,52047,Трг Славија,Ресник /Железничка Станица/
101Nb,52101,Трг Републике,Борча 3
304Nb,52304,Трг Републике,Ритопек
511Nb,52511,Трг Републике,Нови Железник
47Nv,53047,Миљаковац 2,Ресник /Железничка Станица/
150L,60000,Лазаревац ас,Дудовица
150,60001,Лазаревац (Дудовица),Маринац
139L,60002,Лазаревац,Петка магистрала
141L,60003,Лазаревац (Завод),Рудовци село
166,60005,Лазаревац (Завод),Крушевица
133L,60006,Врбовно Лил.кућа,Лазаревац (Лесковац)
133,60007,Лазаревац,Лесковац
140,60008,Лазаревац (Врбовно),Лесковац црква
140L,60009,Лазаревац,Врбовно
130,60010,Лазаревац (Миросаљци),Гуњевац окретница
130A,60011,Лазаревац (Араповац),Гуњевац окретница
135,60012,Лазаревац (Соколово),Арнајево
136,60013,Велики Црљени ,Соколово
136A,60014,Велики Црљени,Арнајево
160,60015,Лазаревац,Вреоци
